,optimalImageSize,optimalDistanceBetweenEyes,optimalConfidence
00115,21.0,5.0,0.936220109462738
00116,20.0,5.0990195135927845,0.8817581534385681
00117,20.0,5.0,0.9949578642845154
00118,32.0,9.0,0.8942574262619019
00119,25.0,7.0710678118654755,0.9737677574157715
00120,20.0,4.0,0.9884290099143982
00121,30.0,6.0,0.7310901880264282
00122,23.0,5.0,0.9582758545875549
00123,22.0,4.0,0.9169231653213501
00124,24.0,8.0,0.8126897811889648
00125,20.0,5.0,0.9989355206489563
00126,20.0,5.0990195135927845,0.9693695306777954
00127,21.0,5.0,0.97709059715271
00128,20.0,5.0,0.9988890290260315
00129,20.0,5.0990195135927845,0.9007254242897034
00130,20.0,5.0990195135927845,0.9867089986801147
00131,20.0,6.082762530298219,0.8936166167259216
00132,20.0,6.0,0.9612381458282471
00133,20.0,5.0,0.999135434627533
00134,20.0,5.0,0.9886268973350525
00135,20.0,5.0,0.9774234890937805
00136,20.0,5.0,0.9861437082290649
00137,20.0,5.0990195135927845,0.8509357571601868
00138,20.0,6.0,0.8986546993255615
00139,20.0,4.0,0.9665138721466064
00140,20.0,5.0,0.9880473613739014
00141,22.0,5.0990195135927845,0.8046579360961914
00142,20.0,5.0,0.9962928891181946
00143,20.0,5.0,0.9938620328903198
00144,20.0,4.123105625617661,0.9917370676994324
00145,20.0,6.0,0.9006749987602234
00146,26.0,7.0,0.9514352679252625
00147,20.0,5.0,0.9993340373039246
00148,22.0,6.082762530298219,0.9642775058746338
00149,20.0,5.0,0.9883145093917847
00150,25.0,7.0,0.9722031354904175
00151,20.0,6.0,0.9545599818229675
00152,22.0,6.0,0.8234843015670776
00153,31.0,8.0,0.937983512878418
00154,26.0,7.0,0.7694391012191772
00155,20.0,6.0,0.9616205096244812
00156,20.0,6.082762530298219,0.9336758852005005
00157,20.0,5.0,0.9704751968383789
00158,20.0,5.0,0.9365952610969543
00159,20.0,5.0,0.9961798191070557
00160,20.0,5.0990195135927845,0.966129720211029
00161,22.0,6.0,0.8520545363426208
00162,31.0,9.055385138137417,0.7307760715484619
00163,21.0,5.0,0.8788968324661255
00164,20.0,4.0,0.7312338948249817
00165,28.0,8.06225774829855,0.7055426239967346
00166,20.0,6.0,0.9891966581344604
00167,22.0,5.0,0.892372727394104
00168,20.0,5.0,0.924096405506134
00169,25.0,6.0,0.8791047930717468
00170,20.0,6.082762530298219,0.981259286403656
00171,25.0,8.0,0.9902342557907104
00172,20.0,6.0,0.9866306185722351
00173,20.0,5.0,0.8245456218719482
00174,25.0,6.0,0.8657868504524231
00175,20.0,5.0,0.9571406841278076
00176,20.0,4.123105625617661,0.989038348197937
00177,20.0,6.0,0.8365353941917419
00178,20.0,6.0,0.968920111656189
00179,27.0,8.0,0.9601159691810608
00180,28.0,8.06225774829855,0.7223107218742371
00181,20.0,6.0,0.7906587719917297
00182,20.0,5.0,0.9923324584960938
